


:
  TF-Se-2-2018-01-15, 30.05.2005 07:42:59
:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]        [mg]
        2530        2530     32.0428     210.833     5.46418
        2541        2541     32.0662      211.75     5.46398
        2552        2552     32.0981     212.667     5.46377
        2563        2563      32.143     213.583     5.46332
        2574        2574     32.1683       214.5      5.4631
        2585        2585     32.2008     215.417     5.46278
        2596        2596     32.2412     216.333     5.46243
        2607        2607       32.26      217.25     5.46213
        2618        2618     32.3023     218.167     5.46146
        2629        2629      32.316     219.083     5.46147
        2640        2640     32.3538         220     5.46127
        2651        2651     32.3974     220.917     5.46082
        2662        2662     32.4142     221.833     5.46055
        2673        2673     32.4572      222.75     5.46058
        2684        2684     32.4761     223.667     5.46007
        2695        2695     32.5112     224.583     5.45958
        2706        2706     32.5294       225.5      5.4592
        2717        2717     32.5711     226.417     5.45909
        2728        2728     32.5841     227.333     5.45904
        2739        2739     32.6082      228.25     5.45843
        2750        2750     32.6387     229.167     5.45814
        2761        2761     32.6595     230.083      5.4578
        2772        2772     32.6875         231     5.45744
        2783        2783     32.7045     231.917     5.45717
        2794        2794     32.7559     232.833     5.45694
        2805        2805     32.7807      233.75     5.45648
        2816        2816     32.8054     234.667     5.45624
        2827        2827     32.8132     235.583     5.45577
        2838        2838     32.8315       236.5     5.45537
        2849        2849     32.8596     237.417     5.45505
        2860        2860     32.8895     238.333     5.45466
        2871        2871     32.8999      239.25     5.45438
        2882        2882     32.9371     240.167     5.45416
        2893        2893     32.9514     241.083     5.45372
        2904        2904     32.9605         242     5.45327
        2915        2915      33.008     242.917     5.45331
        2926        2926     33.0256     243.833      5.4528
        2937        2937     33.0464      244.75      5.4523
        2948        2948     33.0673     245.667     5.45211
        2959        2959      33.079     246.583     5.45152
        2970        2970     33.0829       247.5     5.45125
        2981        2981     33.1167     248.417      5.4507
        2992        2992     33.1115     249.333     5.45025
        3003        3003     33.1513      250.25     5.44995
        3014        3014     33.1571     251.167     5.44947
        3025        3025     33.1805     252.083     5.44911
        3036        3036     33.2006         253     5.44878
        3047        3047     33.2059     253.917     5.44839
        3058        3058     33.2332     254.833     5.44769
        3069        3069     33.2508      255.75     5.44755
        3080        3080      33.267     256.667     5.44727
        3091        3091     33.2657     257.583      5.4466
        3102        3102     33.2937       258.5     5.44614
        3113        3113     33.3029     259.417     5.44558
        3124        3124     33.3303     260.333     5.44505
        3135        3135     33.3348      261.25      5.4448
        3146        3146     33.3584     262.167     5.44409
        3157        3157     33.3812     263.083     5.44358
        3168        3168     33.3904         264     5.44326
        3179        3179     33.3916     264.917     5.44275
        3190        3190     33.4358     265.833      5.4418
        3201        3201     33.4442      266.75     5.44134
        3212        3212     33.4748     267.667     5.44097
        3223        3223     33.4742     268.583     5.44021
        3234        3234     33.5009       269.5     5.43973
        3245        3245     33.4963     270.417     5.43885
        3256        3256      33.523     271.333     5.43839
        3267        3267     33.5348      272.25     5.43745
        3278        3278     33.5584     273.167     5.43674
        3289        3289     33.5616     274.083      5.4361
        3300        3300     33.5713         275     5.43526
        3311        3311     33.5805     275.917     5.43446
        3322        3322     33.5752     276.833     5.43343
        3333        3333     33.6071      277.75     5.43279
        3344        3344     33.6201     278.667      5.4316
        3355        3355     33.6318     279.583     5.43079
        3366        3366     33.6546       280.5     5.42998
        3377        3377     33.6422     281.417     5.42851
        3388        3388     33.6798     282.333     5.42757
        3399        3399     33.7149      283.25     5.42624
        3410        3410     33.7532     284.167     5.42537
        3421        3421     33.7309     285.083     5.42373
        3432        3432     33.7503         286     5.42229
        3443        3443     33.7822     286.917     5.42087
        3454        3454     33.7783     287.833     5.41952
        3465        3465     33.7946      288.75     5.41778
        3476        3476     33.7979     289.667     5.41636
        3487        3487     33.8207     290.583     5.41492
        3498        3498     33.8293       291.5     5.41341
        3509        3509     33.8317     292.417     5.41165
        3520        3520     33.8427     293.333     5.40962
        3531        3531     33.8778      294.25     5.40812
        3542        3542     33.8705     295.167     5.40609
        3553        3553     33.8946     296.083     5.40453
        3564        3564     33.9016         297     5.40249
        3575        3575      33.929     297.917      5.4005
        3586        3586      33.914     298.833     5.39852
        3597        3597     33.9204      299.75      5.3961
        3608        3608     33.9276     300.667       5.394
        3619        3619     33.9333     301.583     5.39213
        3630        3630     33.9392       302.5     5.38959
        3641        3641     33.9564     303.417     5.38741
        3652        3652     33.9638     304.333     5.38484
        3663        3663     33.9753      305.25     5.38198
        3674        3674     33.9819     306.167     5.37985
        3685        3685     34.0008     307.083     5.37695
        3696        3696     33.9987         308     5.37425
        3707        3707     34.0079     308.917     5.37139
        3718        3718     34.0098     309.833     5.36832
        3729        3729     34.0114      310.75     5.36538
        3740        3740      34.057     311.667     5.36209
        3751        3751     34.0596     312.583     5.35876
        3762        3762     34.0635       313.5     5.35511
        3773        3773     34.0615     314.417     5.35181
        3784        3784      34.087     315.333     5.34794
        3795        3795     34.0869      316.25     5.34448
        3806        3806     34.0987     317.167     5.34019
        3817        3817     34.0993     318.083     5.33592
        3828        3828      34.115         319     5.33156
        3839        3839     34.1293     319.917     5.32671
        3850        3850     34.1502     320.833     5.32204
        3861        3861      34.126      321.75     5.31703
        3872        3872     34.1572     322.667     5.31158
        3883        3883     34.1552     323.583      5.3055
        3894        3894     34.1663       324.5     5.29964
        3905        3905     34.1755     325.417     5.29309
        3916        3916     34.1962     326.333     5.28645
        3927        3927     34.1806      327.25      5.2787
        3938        3938     34.2054     328.167     5.27078
        3949        3949     34.1897     329.083     5.26254
        3960        3960     34.2113         330     5.25314
        3971        3971     34.2107     330.917     5.24386
        3982        3982     34.2218     331.833     5.23302
        3993        3993     34.2407      332.75     5.22149
        4004        4004     34.2543     333.667     5.20893
        4015        4015     34.2465     334.583     5.19492
        4026        4026     34.2575       335.5     5.17983
        4037        4037     34.2848     336.417     5.16261
        4048        4048     34.2907     337.333     5.14292
        4059        4059     34.2972      338.25     5.12052
        4070        4070     34.3286     339.167     5.09423
        4081        4081     34.3156     340.083     5.06269
        4092        4092     34.3285         341     5.02302
        4103        4103     34.3375     341.917      4.9712
        4114        4114     34.3584     342.833     4.89773
        4125        4125     34.3786      343.75     4.78263
        4136        4136     34.5694     344.667     4.41261
        4147        4147     34.4745     345.583     4.11104
        4158        4158     34.4353       346.5     4.00168
        4169        4169     34.4046     347.417      3.9515
        4180        4180     34.4132     348.333     3.92231
        4191        4191     34.4242      349.25     3.90149
        4202        4202     34.4033     350.167     3.88492
        4213        4213     34.4158     351.083     3.87077
        4224        4224     34.4093         352     3.85836
        4235        4235      34.419     352.917      3.8467
        4246        4246     34.3905     353.833     3.83665
        4257        4257     34.4272      354.75     3.82701
        4268        4268     34.4467     355.667     3.81787
        4279        4279     34.4337     356.583     3.80942
        4290        4290     34.4491       357.5     3.80122
        4301        4301     34.4406     358.417     3.79314
        4312        4312     34.4419     359.333     3.78516
        4323        4323     34.4425      360.25      3.7774
        4334        4334     34.4516     361.167     3.76975
        4345        4345     34.4692     362.083     3.76172
        4356        4356     34.4829         363     3.75426
        4367        4367     34.4927     363.917     3.74663
        4378        4378     34.4974     364.833     3.73864
        4389        4389     34.4878      365.75     3.73102
        4400        4400        34.5     366.667     3.72312
        4411        4411     34.5213     367.583     3.71517
        4422        4422     34.5036       368.5     3.70701
        4433        4433     34.5284     369.417     3.69872
        4444        4444     34.5173     370.333      3.6908
        4455        4455     34.5428      371.25     3.68232
        4466        4466     34.5252     372.167     3.67412
        4477        4477     34.5435     373.083     3.66566
        4488        4488     34.5565         374     3.65727
        4499        4499     34.5573     374.917     3.64862
        4510        4510     34.5475     375.833     3.64046
        4521        4521     34.5514      376.75     3.63182
        4532        4532      34.556     377.667     3.62323
        4543        4543     34.5638     378.583     3.61464
        4554        4554     34.5769       379.5     3.60621
        4565        4565     34.5828     380.417     3.59784
        4576        4576     34.5815     381.333     3.58903
        4587        4587     34.5927      382.25     3.58108
        4598        4598     34.6003     383.167     3.57287
        4609        4609     34.5972     384.083     3.56465
        4620        4620     34.6037         385     3.55667
        4631        4631     34.6011     385.917     3.54878
        4642        4642     34.6166     386.833      3.5409
        4653        4653     34.6023      387.75     3.53308
        4664        4664     34.6212     388.667     3.52534
        4675        4675     34.6161     389.583     3.51774
        4686        4686     34.6452       390.5     3.51031
        4697        4697     34.6365     391.417     3.50322
        4708        4708     34.6425     392.333     3.49583
        4719        4719      34.645      393.25     3.48916
        4730        4730     34.6789     394.167     3.48264
        4741        4741     34.6686     395.083     3.47545
        4752        4752     34.6594         396     3.46928
        4763        4763     34.6802     396.917     3.46283
        4774        4774     34.6736     397.833     3.45643
        4785        4785     34.6734      398.75     3.45043
        4796        4796     34.6787     399.667     3.44471
        4807        4807     34.6676     400.583     3.43868
        4818        4818      34.687       401.5     3.43322
        4829        4829     34.6956     402.417     3.42767
        4840        4840     34.7067     403.333     3.42221
        4851        4851     34.7061      404.25     3.41683
        4862        4862     34.7171     405.167     3.41168
        4873        4873     34.7151     406.083     3.40643
        4884        4884     34.7184         407     3.40149
        4895        4895     34.7397     407.917     3.39651
        4906        4906     34.7476     408.833     3.39157
        4917        4917     34.7522      409.75     3.38691
        4928        4928     34.7503     410.667      3.3821
        4939        4939      34.758     411.583      3.3777
        4950        4950      34.773       412.5     3.37278
        4961        4961     34.8304     413.417     3.36848
        4972        4972     34.8534     414.333     3.36396
        4983        4983     34.9106      415.25     3.35944
        4994        4994     34.9138     416.167     3.35463
        5005        5005     34.9385     417.083     3.35042
        5016        5016     34.9666         418       3.346
        5027        5027     34.9965     418.917     3.34152
        5038        5038     34.9999     419.833     3.33675
        5049        5049     35.0227      420.75     3.33245
        5060        5060     35.0333     421.667     3.32817
        5071        5071      35.047     422.583     3.32353
        5082        5082      35.056       423.5     3.31872
        5093        5093     35.0613     424.417     3.31417
        5104        5104      35.086     425.333      3.3101
        5115        5115     35.0808      426.25     3.30531
        5126        5126     35.1081     427.167     3.30062
