Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
383.46,-0.0003,0.0106,0.0139,0.0075,0.0159,0.0146,0.0104,-0.0009,-0.0036,-0.0032,0.0007
383.84,-0.0004,0.0105,0.0135,0.0074,0.0159,0.0145,0.0099,-0.0014,-0.004,-0.0032,0.0005
384.23,-0.0003,0.0102,0.0136,0.0072,0.0161,0.0145,0.0095,-0.0017,-0.004,-0.003,0.0006
384.61,0,0.0099,0.0138,0.0074,0.0165,0.0147,0.0096,-0.0012,-0.0038,-0.0027,0.001
384.99,0.0003,0.0095,0.0137,0.0077,0.0167,0.0144,0.0096,-0.0013,-0.0036,-0.0024,0.0009
385.38,0.0007,0.0096,0.0141,0.0079,0.0173,0.0149,0.0103,-0.0007,-0.0031,-0.0021,0.0012
385.76,0.001,0.0088,0.0137,0.0078,0.0174,0.0145,0.0099,-0.0009,-0.0031,-0.0022,0.0012
386.15,0.0012,0.0081,0.0138,0.0073,0.0172,0.0146,0.01,-0.0012,-0.0027,-0.002,0.0007
386.53,0.0017,0.008,0.0141,0.0075,0.0173,0.0149,0.0101,-0.0009,-0.0021,-0.0014,0.0012
386.92,0.0018,0.0076,0.014,0.0075,0.0172,0.0147,0.01,-0.0011,-0.0026,-0.0015,0.0011
387.3,0.0017,0.0073,0.0136,0.0069,0.0171,0.0143,0.0098,-0.001,-0.003,-0.0014,0.001
387.69,0.0021,0.0068,0.0137,0.0068,0.017,0.0136,0.0097,-0.0014,-0.0032,-0.0012,0.0006
388.07,0.0025,0.0063,0.0139,0.0068,0.0169,0.0135,0.0097,-0.0014,-0.003,-0.0012,0.0011
388.45,0.0022,0.0057,0.0133,0.0064,0.0163,0.0132,0.0095,-0.0019,-0.0031,-0.0015,0.0008
388.84,0.0024,0.0056,0.013,0.0062,0.0158,0.0127,0.0092,-0.002,-0.0037,-0.0019,0.0004
389.22,0.002,0.0046,0.0126,0.0054,0.0151,0.0123,0.0083,-0.0024,-0.004,-0.0026,-0.0001
389.61,0.0017,0.0037,0.0119,0.0048,0.0143,0.0117,0.008,-0.0032,-0.0045,-0.0032,-0.0003
389.99,0.0016,0.0034,0.0115,0.0047,0.014,0.0114,0.0077,-0.0036,-0.0048,-0.0034,-0.0004
390.37,0.0019,0.0032,0.0116,0.0048,0.0139,0.0111,0.0075,-0.0036,-0.005,-0.0036,-0.0002
390.76,0.002,0.0033,0.0116,0.0048,0.014,0.0109,0.0076,-0.0034,-0.0049,-0.0038,-0.0002
391.14,0.002,0.0029,0.0118,0.0045,0.0141,0.0108,0.0077,-0.0032,-0.0043,-0.0037,-0.0002
391.53,0.0019,0.0026,0.0122,0.0046,0.0141,0.011,0.0076,-0.0037,-0.0043,-0.0037,-0.0001
391.91,0.0016,0.0024,0.0122,0.0041,0.0136,0.0111,0.0077,-0.004,-0.0041,-0.0039,-0.0002
392.29,0.0013,0.0019,0.0117,0.0038,0.0132,0.0103,0.0077,-0.0044,-0.0043,-0.0041,-0.0006
392.68,0.0017,0.0018,0.0113,0.0039,0.0134,0.0103,0.0076,-0.0043,-0.0046,-0.0039,-0.0004
393.06,0.0012,0.001,0.0112,0.0032,0.0133,0.0103,0.0072,-0.0045,-0.005,-0.0039,-0.0004
393.45,0.0018,0.0015,0.0116,0.0039,0.0138,0.0106,0.0079,-0.0042,-0.0049,-0.0038,-0.0001
393.83,0.0023,0.0017,0.0119,0.0044,0.0144,0.0109,0.008,-0.0038,-0.0046,-0.0032,0.0003
394.21,0.0019,0.0015,0.0118,0.0044,0.0139,0.011,0.0077,-0.004,-0.0047,-0.0033,0.0005
394.6,0.0017,0.0014,0.0112,0.0044,0.014,0.0107,0.0076,-0.0041,-0.0048,-0.0035,0.0006
394.98,0.0014,0.0004,0.0107,0.0036,0.0135,0.01,0.0069,-0.0044,-0.0054,-0.0038,0.0002
395.37,0.001,-0.0002,0.0102,0.0032,0.0128,0.0098,0.0064,-0.0048,-0.006,-0.0041,-0.0001
395.75,0.0012,-0.0008,0.0099,0.0032,0.0129,0.0097,0.0063,-0.0049,-0.006,-0.0043,0
396.13,0.0014,-0.0012,0.0093,0.0033,0.013,0.0097,0.006,-0.0048,-0.0062,-0.0045,0
396.52,0.0016,-0.0014,0.009,0.003,0.0129,0.0098,0.0054,-0.005,-0.0064,-0.005,-0.0001
396.9,0.0015,-0.0015,0.0093,0.0029,0.0125,0.0095,0.0052,-0.005,-0.0065,-0.005,-0.0003
397.28,0.0017,-0.0018,0.009,0.0031,0.0122,0.0088,0.0051,-0.0056,-0.0062,-0.0057,-0.0004
397.67,0.0015,-0.0024,0.0087,0.0025,0.0117,0.0085,0.0045,-0.0061,-0.0064,-0.0058,-0.0006
398.05,0.0005,-0.0034,0.008,0.0018,0.011,0.0082,0.0038,-0.0068,-0.0068,-0.0064,-0.0016
398.44,0.0004,-0.0038,0.0082,0.0014,0.0111,0.008,0.004,-0.0067,-0.0067,-0.0062,-0.0018
398.82,0.0007,-0.0042,0.0081,0.0013,0.0112,0.0081,0.0041,-0.0068,-0.0069,-0.0063,-0.0019
399.2,0.0005,-0.0043,0.008,0.0012,0.0108,0.0081,0.0043,-0.0072,-0.0069,-0.0065,-0.0021
399.59,0.0007,-0.0045,0.0079,0.0012,0.0108,0.008,0.0039,-0.0075,-0.0072,-0.0066,-0.002
399.97,0.0006,-0.0044,0.008,0.0012,0.0107,0.0079,0.0038,-0.0073,-0.0072,-0.0066,-0.0018
400.35,0.0003,-0.0045,0.0082,0.001,0.0107,0.0077,0.0042,-0.0074,-0.0073,-0.0064,-0.0019
400.74,0.0004,-0.0045,0.0089,0.0011,0.0108,0.0077,0.005,-0.0071,-0.0071,-0.0058,-0.0014
401.12,0,-0.005,0.0086,0.0009,0.0107,0.0073,0.0048,-0.0076,-0.0073,-0.0058,-0.0014
401.5,-0.0003,-0.0054,0.0084,0.0005,0.0105,0.0075,0.0044,-0.0076,-0.0076,-0.0054,-0.0016
401.89,-0.0003,-0.0053,0.0081,0.0006,0.0107,0.0077,0.0047,-0.0072,-0.0077,-0.005,-0.0015
402.27,0.0003,-0.0048,0.0084,0.0005,0.011,0.0075,0.0051,-0.0069,-0.0077,-0.0048,-0.0011
402.65,0.0004,-0.0049,0.0083,0.0006,0.011,0.0074,0.0049,-0.007,-0.0078,-0.0048,-0.0009
403.04,-0.0001,-0.0049,0.0081,0.0001,0.0106,0.0076,0.0045,-0.0071,-0.0081,-0.0048,-0.001
403.42,0.0002,-0.0046,0.0083,0.0005,0.0109,0.0079,0.0046,-0.007,-0.0082,-0.0044,-0.0008
403.8,0.0003,-0.0048,0.0084,0.0006,0.0111,0.0081,0.005,-0.007,-0.0082,-0.0046,-0.0011
404.19,0.0005,-0.0046,0.0085,0.0006,0.0111,0.0078,0.005,-0.0069,-0.0084,-0.0044,-0.0013
404.57,0.0007,-0.0047,0.0082,0.0005,0.011,0.0076,0.0046,-0.007,-0.0086,-0.0046,-0.0012
404.95,0.0005,-0.0048,0.0076,0.0001,0.0108,0.0076,0.0038,-0.0072,-0.0086,-0.0052,-0.0016
405.34,0.0012,-0.0047,0.008,0.0005,0.0112,0.0081,0.0039,-0.0068,-0.0086,-0.0054,-0.0016
405.72,0.0016,-0.0044,0.0084,0.0006,0.0116,0.0078,0.0042,-0.0069,-0.0082,-0.0055,-0.0014
406.1,0.0015,-0.0045,0.0087,0.0006,0.0116,0.0079,0.0045,-0.0066,-0.0081,-0.0056,-0.0012
406.48,0.0012,-0.0047,0.0085,0.0007,0.0114,0.0077,0.004,-0.0067,-0.0083,-0.0055,-0.0013
406.87,0.0018,-0.0047,0.0085,0.0006,0.0114,0.0079,0.0042,-0.0065,-0.0085,-0.0055,-0.0012
407.25,0.0024,-0.0048,0.0087,0.0012,0.0117,0.0077,0.0045,-0.0062,-0.0082,-0.0052,-0.0009
407.63,0.0024,-0.0049,0.0085,0.0011,0.0115,0.0077,0.0044,-0.006,-0.0077,-0.0054,-0.0008
408.02,0.0025,-0.005,0.0082,0.0008,0.0112,0.0073,0.0042,-0.0062,-0.0078,-0.0054,-0.0003
408.4,0.0018,-0.0058,0.0079,0.0006,0.0109,0.0074,0.0038,-0.0069,-0.0079,-0.0057,-0.0007
408.78,0.0019,-0.006,0.0078,0.0004,0.0111,0.0076,0.0038,-0.0072,-0.0077,-0.0058,-0.0009
409.17,0.0018,-0.0061,0.0082,0.0005,0.011,0.0077,0.0037,-0.0073,-0.0078,-0.0057,-0.0006
409.55,0.0018,-0.0061,0.0082,0.0003,0.011,0.0075,0.0038,-0.0075,-0.0079,-0.0055,-0.0006
409.93,0.0016,-0.0062,0.0081,0.0003,0.0109,0.0078,0.004,-0.0075,-0.0081,-0.0054,-0.0007
410.31,0.0015,-0.0061,0.0084,0.0002,0.0106,0.0078,0.0036,-0.0079,-0.0082,-0.0053,-0.0009
410.7,0.0016,-0.006,0.0086,0.0003,0.0105,0.0079,0.0038,-0.0079,-0.0081,-0.0057,-0.0008
411.08,0.0013,-0.0059,0.0087,0.0005,0.0104,0.0078,0.0036,-0.008,-0.008,-0.0054,-0.001
411.46,0.001,-0.0058,0.0085,0.0002,0.01,0.0077,0.0035,-0.0082,-0.0078,-0.0053,-0.0013
411.85,0.0007,-0.0062,0.0084,-0.0002,0.0099,0.0075,0.0033,-0.0082,-0.0084,-0.0055,-0.0015
412.23,0.0008,-0.006,0.0087,0.0001,0.0104,0.0075,0.0032,-0.008,-0.0084,-0.0054,-0.0017
412.61,0.001,-0.0056,0.0087,0,0.0107,0.0076,0.0035,-0.0077,-0.0086,-0.0053,-0.0016
412.99,0.0011,-0.0056,0.0091,0.0002,0.0105,0.0073,0.0035,-0.0075,-0.0088,-0.0054,-0.0014
413.38,0.0011,-0.0054,0.0087,0.0003,0.0107,0.0075,0.004,-0.0071,-0.0088,-0.005,-0.0017
413.76,0.0006,-0.0056,0.0085,0,0.0107,0.0074,0.0039,-0.007,-0.0087,-0.005,-0.0017
414.14,0.0008,-0.0056,0.0081,-0.0002,0.0103,0.0071,0.0034,-0.007,-0.0086,-0.0048,-0.0015
414.52,0.0012,-0.0057,0.0075,-0.0004,0.0103,0.0068,0.0038,-0.0072,-0.0085,-0.005,-0.0014
414.91,0.0013,-0.0061,0.0074,-0.0006,0.0105,0.0067,0.0035,-0.0073,-0.0085,-0.0049,-0.0015
415.29,0.0014,-0.006,0.0073,-0.0004,0.0106,0.0068,0.0036,-0.0073,-0.0084,-0.0053,-0.0013
415.67,0.0015,-0.0059,0.0073,-0.0005,0.0106,0.0068,0.0036,-0.0073,-0.0087,-0.0054,-0.0011
416.05,0.0016,-0.0054,0.0077,-0.0003,0.0109,0.0067,0.0038,-0.0074,-0.0083,-0.0049,-0.0008
416.44,0.0012,-0.0055,0.0074,-0.0004,0.0105,0.0066,0.0038,-0.0077,-0.0083,-0.0046,-0.001
416.82,0.0012,-0.0057,0.007,-0.0004,0.0103,0.0064,0.0035,-0.008,-0.0083,-0.0046,-0.0008
417.2,0.0013,-0.0054,0.0071,-0.0003,0.0103,0.0063,0.0033,-0.008,-0.0079,-0.0045,-0.0007
417.58,0.0012,-0.006,0.007,-0.0005,0.0103,0.0056,0.0029,-0.0083,-0.0082,-0.0049,-0.0005
417.96,0.0014,-0.0065,0.0069,-0.0008,0.0098,0.0055,0.0027,-0.0086,-0.0083,-0.0052,-0.0007
418.35,0.0013,-0.0068,0.0075,-0.0009,0.0101,0.0054,0.003,-0.0084,-0.0083,-0.0055,-0.0006
418.73,0.0011,-0.0069,0.0074,-0.0013,0.0099,0.0052,0.0023,-0.0084,-0.0084,-0.0052,-0.0008
419.11,0.001,-0.0068,0.0072,-0.0011,0.0099,0.0052,0.002,-0.0084,-0.0085,-0.0053,-0.0009
419.49,0.0012,-0.0066,0.0077,-0.001,0.0101,0.0051,0.0023,-0.0081,-0.0085,-0.005,-0.0006
419.88,0.0012,-0.0069,0.0079,-0.0011,0.0104,0.0051,0.0024,-0.0083,-0.0085,-0.0051,-0.0007
420.26,0.0013,-0.0075,0.0077,-0.0015,0.0102,0.0046,0.0022,-0.0086,-0.0087,-0.0056,-0.0012
420.64,0.0019,-0.0071,0.0084,-0.0011,0.0106,0.0049,0.0025,-0.0082,-0.0085,-0.0054,-0.0009
421.02,0.0019,-0.0072,0.0088,-0.0014,0.0105,0.0049,0.0028,-0.0081,-0.0083,-0.0053,-0.001
421.4,0.0017,-0.0074,0.0085,-0.0018,0.0103,0.005,0.0029,-0.0086,-0.0087,-0.0054,-0.001
421.79,0.0018,-0.0071,0.0087,-0.0016,0.0103,0.0054,0.0031,-0.0087,-0.0087,-0.0052,-0.001
422.17,0.0017,-0.0067,0.0086,-0.0015,0.0107,0.0055,0.0035,-0.0087,-0.0087,-0.0049,-0.0008
422.55,0.0017,-0.0064,0.0083,-0.0014,0.0107,0.0057,0.0035,-0.0088,-0.0086,-0.0047,-0.0008
422.93,0.0017,-0.0065,0.0085,-0.001,0.011,0.0059,0.0039,-0.0086,-0.0089,-0.0046,-0.0006
423.31,0.0015,-0.0064,0.0085,-0.0009,0.0111,0.0059,0.0041,-0.0088,-0.0087,-0.0046,-0.0004
423.7,0.0013,-0.0066,0.0082,-0.0008,0.0107,0.0059,0.0036,-0.0091,-0.0087,-0.0047,-0.0008
424.08,0.0012,-0.0068,0.0079,-0.0006,0.0105,0.0056,0.0035,-0.0094,-0.0088,-0.0049,-0.0006
424.46,0.0012,-0.0065,0.0079,-0.0006,0.0106,0.0061,0.0038,-0.0091,-0.0087,-0.0047,-0.0002
424.84,0.0011,-0.0068,0.0075,-0.001,0.0103,0.006,0.004,-0.009,-0.0089,-0.0048,0
425.22,0.0012,-0.0066,0.0074,-0.0008,0.0102,0.006,0.004,-0.0089,-0.0089,-0.0048,-0.0001
425.6,0.0016,-0.0064,0.0077,-0.0005,0.0103,0.0056,0.0039,-0.0083,-0.009,-0.0044,-0.0001
425.99,0.0017,-0.0065,0.0077,-0.0003,0.0105,0.0055,0.0037,-0.0082,-0.0087,-0.0041,-0.0006
426.37,0.002,-0.0062,0.0081,-0.0001,0.0104,0.0056,0.004,-0.0079,-0.0085,-0.0039,-0.0006
426.75,0.0019,-0.0066,0.0083,-0.0002,0.0103,0.0057,0.0038,-0.0081,-0.0086,-0.0042,-0.0007
427.13,0.0014,-0.0068,0.0081,-0.0005,0.0101,0.0056,0.0035,-0.0082,-0.0086,-0.0047,-0.001
427.51,0.0017,-0.0068,0.0086,-0.0009,0.0099,0.0058,0.0038,-0.008,-0.0083,-0.0043,-0.0009
427.89,0.0015,-0.0069,0.0086,-0.0012,0.0102,0.0056,0.004,-0.008,-0.0084,-0.0042,-0.0009
428.28,0.0016,-0.0068,0.0087,-0.0012,0.0099,0.0057,0.004,-0.0078,-0.0085,-0.0039,-0.001
428.66,0.0014,-0.0069,0.0086,-0.0008,0.01,0.0056,0.0039,-0.0078,-0.0086,-0.004,-0.001
429.04,0.0014,-0.0066,0.0085,-0.001,0.0099,0.0056,0.0035,-0.0082,-0.0085,-0.0038,-0.0012
429.42,0.0012,-0.0067,0.0088,-0.0007,0.0101,0.0056,0.0031,-0.0081,-0.0087,-0.0038,-0.001
429.8,0.001,-0.007,0.0087,-0.0008,0.01,0.0058,0.0032,-0.0083,-0.0086,-0.0039,-0.0007
430.18,0.001,-0.0068,0.0086,-0.0008,0.0097,0.006,0.0035,-0.0083,-0.0086,-0.0038,-0.0006
430.56,0.0009,-0.0067,0.0088,-0.0008,0.0098,0.0062,0.0032,-0.0084,-0.0087,-0.0037,-0.0004
430.95,0.001,-0.0062,0.0087,-0.0003,0.0102,0.0063,0.0033,-0.0082,-0.0084,-0.003,-0.0005
431.33,0.0013,-0.0058,0.0093,0.0003,0.0105,0.0069,0.0038,-0.0081,-0.0078,-0.0027,-0.0001
431.71,0.0014,-0.0058,0.0089,0.0003,0.0104,0.0066,0.0037,-0.0082,-0.0081,-0.0027,-0.0003
432.09,0.0015,-0.0058,0.0086,-0.0001,0.0099,0.0062,0.0035,-0.0085,-0.0083,-0.0028,-0.0005
432.47,0.0013,-0.0059,0.0087,-0.0003,0.0103,0.0061,0.0034,-0.0086,-0.008,-0.0029,-0.0005
432.85,0.0016,-0.0057,0.0088,-0.0004,0.0105,0.0064,0.0035,-0.0084,-0.0076,-0.0025,-0.0003
433.23,0.0012,-0.0057,0.009,-0.0008,0.0103,0.0059,0.0034,-0.0083,-0.0079,-0.0033,-0.0003
433.61,0.0009,-0.0059,0.0089,-0.0011,0.0102,0.0059,0.0037,-0.009,-0.008,-0.0033,-0.0006
434,0.0005,-0.0062,0.0086,-0.0015,0.0101,0.0058,0.0034,-0.0092,-0.008,-0.0034,-0.0011
434.38,0.0005,-0.0063,0.0088,-0.0017,0.0099,0.0055,0.0032,-0.0093,-0.0081,-0.0039,-0.0009
434.76,0.0002,-0.0066,0.0085,-0.0019,0.0098,0.0053,0.0032,-0.0094,-0.0082,-0.004,-0.0011
435.14,0.0007,-0.0065,0.0088,-0.002,0.0098,0.0054,0.0035,-0.0093,-0.0083,-0.0042,-0.001
435.52,0.0005,-0.0071,0.0085,-0.0024,0.0093,0.0049,0.0032,-0.0096,-0.0087,-0.0043,-0.0013
435.9,0.0003,-0.0073,0.009,-0.0024,0.0092,0.0052,0.003,-0.0096,-0.0087,-0.0043,-0.0011
436.28,0.0002,-0.0069,0.0094,-0.0022,0.0093,0.0058,0.003,-0.0094,-0.0087,-0.0043,-0.0006
436.66,0.0003,-0.0066,0.0097,-0.002,0.0092,0.006,0.0032,-0.0094,-0.0088,-0.004,-0.0004
437.04,-0.0001,-0.0069,0.0091,-0.0023,0.0084,0.0052,0.0029,-0.0098,-0.0093,-0.0047,-0.0009
437.43,0.0002,-0.0073,0.0088,-0.0019,0.0088,0.0056,0.0028,-0.0098,-0.0093,-0.0042,-0.0011
437.81,0.0007,-0.0067,0.009,-0.0015,0.0092,0.006,0.0031,-0.0092,-0.0087,-0.0041,-0.0005
438.19,0.0011,-0.0058,0.0095,-0.001,0.0093,0.0061,0.0031,-0.0089,-0.0086,-0.004,-0.0001
438.57,0.0012,-0.0056,0.0097,-0.0007,0.0096,0.0064,0.0036,-0.0086,-0.0085,-0.0039,0
438.95,0.0013,-0.0058,0.0098,-0.0007,0.0093,0.0065,0.0035,-0.0084,-0.0083,-0.0038,0.0003
439.33,0.0006,-0.006,0.0095,-0.0008,0.0089,0.0062,0.0032,-0.0086,-0.0085,-0.0041,0.0003
439.71,0.0007,-0.0057,0.0095,-0.0009,0.0091,0.0063,0.0029,-0.0085,-0.0083,-0.004,0.0003
440.09,0.0009,-0.0055,0.0095,-0.0003,0.0094,0.0062,0.0032,-0.0089,-0.0083,-0.0041,0.0006
440.47,0.0009,-0.0059,0.0092,-0.0005,0.0091,0.0059,0.0029,-0.0089,-0.0083,-0.0042,0.0006
440.85,0.001,-0.0062,0.0089,-0.0006,0.0093,0.0058,0.0028,-0.0084,-0.008,-0.0042,0.0007
441.23,0.0008,-0.0062,0.009,-0.0008,0.0093,0.006,0.0027,-0.0086,-0.008,-0.0042,0.0009
441.61,0.0009,-0.0059,0.0093,-0.0005,0.0094,0.0063,0.0029,-0.0086,-0.0077,-0.0041,0.0013
441.99,0.0005,-0.0064,0.0092,-0.0009,0.0088,0.0056,0.0026,-0.009,-0.0082,-0.0044,0.0009
442.37,0.0003,-0.0069,0.0092,-0.0011,0.0089,0.0055,0.0026,-0.009,-0.008,-0.0041,0.001
442.75,0.0002,-0.0068,0.0095,-0.001,0.0092,0.0057,0.0025,-0.0089,-0.0078,-0.0038,0.0011
443.13,0.0004,-0.0062,0.0095,-0.0006,0.0094,0.0059,0.0027,-0.0093,-0.0077,-0.0037,0.0013
443.52,0.0005,-0.0059,0.0094,-0.0008,0.0094,0.0057,0.0026,-0.0094,-0.0078,-0.0039,0.0016
443.9,0.0005,-0.0058,0.0097,-0.0006,0.0094,0.0057,0.0029,-0.0093,-0.008,-0.0038,0.0019
444.28,0.0003,-0.0058,0.0096,-0.0007,0.009,0.0057,0.003,-0.0088,-0.0079,-0.0036,0.0016
444.66,0.0004,-0.0057,0.01,-0.0007,0.0095,0.006,0.0037,-0.0089,-0.0079,-0.0033,0.0019
445.04,0.0002,-0.0055,0.0104,-0.0008,0.0091,0.0061,0.0032,-0.0091,-0.0082,-0.0032,0.0018
445.42,0.0003,-0.0058,0.0103,-0.0006,0.0092,0.0061,0.0031,-0.0091,-0.008,-0.0027,0.0015
445.8,0.0003,-0.0055,0.0106,-0.0006,0.0093,0.0062,0.0031,-0.0085,-0.0075,-0.0025,0.0021
446.18,0.0003,-0.0056,0.0103,-0.0006,0.0095,0.0066,0.0031,-0.0083,-0.0073,-0.0024,0.0021
446.56,0.0003,-0.0055,0.0102,-0.0005,0.0094,0.0066,0.0031,-0.0086,-0.0075,-0.0027,0.0021
446.94,0.0002,-0.0056,0.0103,-0.0005,0.0093,0.0062,0.003,-0.0086,-0.0077,-0.0029,0.0022
447.32,0.0002,-0.006,0.0103,-0.0008,0.0093,0.0059,0.0033,-0.0082,-0.0076,-0.003,0.0021
447.7,0.0003,-0.0061,0.0104,-0.001,0.0095,0.0063,0.0033,-0.0083,-0.0075,-0.0027,0.0018
448.08,0.0003,-0.0061,0.0103,-0.0012,0.0097,0.0061,0.0033,-0.0083,-0.0074,-0.0027,0.0017
448.46,0,-0.0065,0.0102,-0.0019,0.0096,0.0057,0.0029,-0.0087,-0.0079,-0.003,0.0017
448.84,0.0002,-0.0064,0.0101,-0.0016,0.0098,0.0058,0.0029,-0.0087,-0.0075,-0.0031,0.0016
449.22,0.0004,-0.0065,0.0102,-0.0017,0.0098,0.0058,0.0034,-0.009,-0.0076,-0.0035,0.0014
449.6,0.0007,-0.0058,0.0107,-0.0014,0.0104,0.006,0.0041,-0.0085,-0.0074,-0.0035,0.0018
449.98,0.0006,-0.0061,0.0105,-0.0018,0.0102,0.0055,0.0041,-0.0094,-0.0081,-0.0037,0.0013
450.36,0.001,-0.0058,0.0112,-0.0017,0.0107,0.0059,0.0044,-0.0093,-0.0078,-0.0036,0.0014
450.74,0.0012,-0.0056,0.0112,-0.0017,0.0108,0.006,0.0044,-0.0091,-0.0076,-0.0035,0.0015
451.12,0.0012,-0.0058,0.0109,-0.0021,0.0106,0.0062,0.0041,-0.0091,-0.0077,-0.0037,0.0017
451.5,0.001,-0.006,0.0109,-0.0019,0.0106,0.0061,0.0038,-0.0095,-0.0076,-0.0037,0.0017
451.88,0.0014,-0.0061,0.0114,-0.0016,0.011,0.0062,0.004,-0.0091,-0.0073,-0.0036,0.0018
452.26,0.0016,-0.0061,0.0115,-0.0013,0.011,0.0066,0.0042,-0.0089,-0.0068,-0.0035,0.0017
452.64,0.0018,-0.0057,0.0116,-0.001,0.0112,0.0072,0.0043,-0.0085,-0.0064,-0.0034,0.002
453.02,0.0016,-0.006,0.0114,-0.0008,0.0109,0.0071,0.0043,-0.0081,-0.0069,-0.0033,0.0017
453.4,0.0015,-0.0061,0.0113,-0.0006,0.0111,0.0069,0.0041,-0.008,-0.0066,-0.0032,0.0017
453.78,0.0015,-0.0062,0.0115,-0.0007,0.0109,0.0069,0.0038,-0.0082,-0.0067,-0.0033,0.002
454.16,0.0013,-0.0063,0.0113,-0.0007,0.0106,0.0071,0.0035,-0.0081,-0.0065,-0.0033,0.0018
454.54,0.001,-0.0065,0.011,-0.0009,0.0101,0.0066,0.0033,-0.0081,-0.007,-0.0032,0.0018
454.91,0.0008,-0.0063,0.0109,-0.0006,0.0099,0.0067,0.0033,-0.0083,-0.0068,-0.0029,0.0018
455.29,0.0009,-0.0063,0.011,-0.0004,0.0099,0.0066,0.0034,-0.0087,-0.0066,-0.0029,0.0015
455.67,0.0009,-0.006,0.011,-0.0006,0.01,0.0068,0.0034,-0.0085,-0.0069,-0.0028,0.0015
456.05,0.0004,-0.0057,0.0107,-0.0006,0.0097,0.0064,0.0033,-0.0087,-0.007,-0.0028,0.0017
456.43,0.0005,-0.0054,0.0107,-0.0005,0.0097,0.0062,0.0035,-0.0085,-0.007,-0.0025,0.0022
456.81,0.0006,-0.0054,0.011,-0.0002,0.0099,0.0061,0.004,-0.0084,-0.0065,-0.0023,0.002
457.19,0.0005,-0.0053,0.011,-0.0004,0.0098,0.006,0.0038,-0.0087,-0.0064,-0.0023,0.0022
457.57,0.0005,-0.005,0.0111,-0.0005,0.0098,0.0061,0.0038,-0.0086,-0.0067,-0.0022,0.0024
457.95,0.0004,-0.0051,0.011,-0.0005,0.0099,0.0063,0.0037,-0.0088,-0.0065,-0.0024,0.002
458.33,0.0007,-0.0048,0.0112,-0.0005,0.0102,0.0063,0.0038,-0.0085,-0.0065,-0.0024,0.0022
458.71,0.0011,-0.0045,0.0113,0,0.0107,0.0066,0.0041,-0.0082,-0.006,-0.0022,0.0025
459.09,0.0012,-0.0048,0.0111,-0.0001,0.011,0.0063,0.0044,-0.0083,-0.0062,-0.0022,0.0024
459.47,0.001,-0.0049,0.0111,-0.0003,0.0106,0.0061,0.0042,-0.0084,-0.0067,-0.0026,0.0022
459.85,0.0012,-0.0048,0.0111,-0.0003,0.0106,0.0059,0.0044,-0.0083,-0.0067,-0.0022,0.0024
460.23,0.001,-0.005,0.0113,-0.0004,0.0103,0.0062,0.0043,-0.0084,-0.007,-0.0023,0.002
460.6,0.0011,-0.005,0.0114,-0.0005,0.0104,0.0064,0.004,-0.0086,-0.0071,-0.0023,0.002
460.98,0.0012,-0.0048,0.0113,-0.0005,0.0105,0.0064,0.0036,-0.0085,-0.0072,-0.0023,0.0021
461.36,0.001,-0.0047,0.0114,-0.0006,0.0107,0.0065,0.0035,-0.0085,-0.0074,-0.0023,0.0024
461.74,0.0009,-0.005,0.0111,-0.0008,0.0106,0.0066,0.0034,-0.0087,-0.0075,-0.0022,0.0022
462.12,0.001,-0.0048,0.0113,-0.0005,0.0108,0.0066,0.0039,-0.0085,-0.0074,-0.0017,0.0028
462.5,0.0007,-0.0047,0.0112,-0.0003,0.0107,0.0068,0.004,-0.0087,-0.0073,-0.0013,0.003
462.88,0.0003,-0.0047,0.0113,-0.0006,0.0104,0.0067,0.0034,-0.0089,-0.0076,-0.0015,0.0028
463.26,0.0002,-0.0045,0.0117,-0.0006,0.0105,0.0071,0.0035,-0.0085,-0.0075,-0.0015,0.0029
463.64,0.0005,-0.0043,0.0119,-0.0005,0.0113,0.0074,0.0036,-0.0082,-0.0072,-0.0011,0.0032
464.02,0.0007,-0.0041,0.0121,-0.0004,0.0112,0.0077,0.0034,-0.0086,-0.007,-0.0015,0.0031
464.39,0.001,-0.0039,0.0118,-0.0001,0.0114,0.0075,0.0033,-0.0086,-0.0066,-0.0016,0.0035
464.77,0.0009,-0.0041,0.0118,0,0.0115,0.0073,0.0034,-0.0087,-0.0067,-0.0016,0.0034
465.15,0.0008,-0.0044,0.0118,-0.0006,0.0114,0.0069,0.0033,-0.0091,-0.0073,-0.0018,0.0032
465.53,0.001,-0.0043,0.0117,-0.0003,0.0117,0.0068,0.0035,-0.0092,-0.007,-0.0015,0.0032
465.91,0.001,-0.0039,0.0122,0.0003,0.0119,0.0069,0.0035,-0.0091,-0.0068,-0.0014,0.0036
466.29,0.0014,-0.0036,0.0124,0.0001,0.0119,0.007,0.0034,-0.009,-0.0067,-0.0018,0.0035
466.67,0.0018,-0.0034,0.0126,0.0002,0.0121,0.007,0.0035,-0.0089,-0.0066,-0.0019,0.0038
467.05,0.0018,-0.0033,0.0124,0.0004,0.0123,0.0069,0.0039,-0.009,-0.0064,-0.002,0.0038
467.42,0.0018,-0.0034,0.0126,0.0002,0.0119,0.0068,0.004,-0.0087,-0.0064,-0.0017,0.0039
