Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
229.2,0.0263,0.047,0.0813,0.0738,0.0941,0.0933,0.0784,0.0667,0.0532,0.069,0.0652
229.6,0.0304,0.0484,0.0841,0.0772,0.0989,0.0954,0.0811,0.0708,0.0569,0.074,0.0691
229.99,0.0295,0.0508,0.0888,0.0752,0.0961,0.0903,0.0819,0.0729,0.057,0.075,0.0699
230.38,0.0282,0.0527,0.0836,0.0743,0.097,0.0881,0.0836,0.0731,0.0568,0.0784,0.072
230.77,0.0297,0.0565,0.085,0.0785,0.103,0.0899,0.0882,0.0722,0.056,0.0807,0.0773
231.16,0.0315,0.0601,0.091,0.0819,0.1098,0.0955,0.0919,0.0762,0.0664,0.0881,0.0822
231.56,0.0308,0.0603,0.0934,0.0827,0.1097,0.0994,0.0997,0.0774,0.0699,0.0898,0.0861
231.95,0.0308,0.0625,0.0981,0.0853,0.1112,0.1046,0.1036,0.0813,0.0728,0.0926,0.0897
232.34,0.0324,0.0614,0.1001,0.0861,0.115,0.1027,0.1059,0.0832,0.0751,0.0936,0.0911
232.73,0.0335,0.0633,0.1008,0.0905,0.1156,0.1062,0.1098,0.0832,0.0829,0.0964,0.0935
233.12,0.0381,0.0651,0.1016,0.092,0.1193,0.1151,0.1155,0.087,0.0877,0.1007,0.1021
233.51,0.0402,0.0693,0.108,0.0958,0.1264,0.1224,0.12,0.0895,0.0971,0.1038,0.1097
233.91,0.0427,0.0719,0.1141,0.0952,0.1296,0.1271,0.1244,0.0928,0.1014,0.1055,0.1101
234.3,0.0462,0.0759,0.118,0.1011,0.1366,0.1329,0.1287,0.1001,0.109,0.1113,0.1132
234.69,0.0542,0.0817,0.1248,0.1111,0.1451,0.1415,0.1414,0.1112,0.1199,0.1228,0.1239
235.08,0.0558,0.0851,0.1289,0.1176,0.1485,0.1485,0.1468,0.1172,0.1279,0.1319,0.1283
235.47,0.059,0.0863,0.1321,0.1234,0.157,0.1552,0.1531,0.1253,0.1289,0.1375,0.1338
235.86,0.069,0.0949,0.14,0.1325,0.1699,0.1656,0.1585,0.1352,0.1377,0.1472,0.1423
236.25,0.0759,0.1048,0.1483,0.1472,0.1805,0.1736,0.1724,0.1496,0.1527,0.1578,0.1541
236.65,0.0833,0.1171,0.158,0.1587,0.1923,0.1886,0.1868,0.1602,0.1709,0.1726,0.1724
237.04,0.0901,0.1277,0.1689,0.1693,0.2071,0.2024,0.2007,0.1773,0.1867,0.1885,0.1904
237.43,0.0955,0.135,0.1821,0.1863,0.2228,0.2168,0.2193,0.1955,0.2048,0.206,0.2026
237.82,0.1032,0.1468,0.1914,0.1995,0.2405,0.2331,0.2358,0.2138,0.2209,0.2247,0.2181
238.21,0.1103,0.1611,0.2088,0.2249,0.261,0.2577,0.2586,0.2374,0.2448,0.2499,0.2421
238.6,0.1174,0.1738,0.2232,0.246,0.2798,0.2805,0.2804,0.2608,0.2669,0.2765,0.271
239,0.1236,0.1908,0.2399,0.2642,0.2995,0.3049,0.3015,0.2835,0.2955,0.3005,0.2943
239.39,0.1321,0.2087,0.2603,0.2907,0.3285,0.3359,0.3329,0.3146,0.3316,0.3297,0.328
239.78,0.1394,0.2298,0.2852,0.3179,0.3524,0.3663,0.368,0.345,0.3677,0.3616,0.3623
240.17,0.1462,0.2479,0.3112,0.345,0.3807,0.3968,0.4068,0.3862,0.4042,0.3993,0.3997
240.56,0.1557,0.2668,0.334,0.3739,0.4114,0.4337,0.4431,0.4246,0.4469,0.4398,0.4438
240.95,0.164,0.2879,0.3579,0.4051,0.4425,0.4735,0.4834,0.469,0.4901,0.4856,0.4911
241.34,0.1735,0.3065,0.3822,0.4366,0.4776,0.5126,0.5276,0.5144,0.5362,0.5336,0.5376
241.74,0.1839,0.3284,0.4085,0.4668,0.5127,0.5527,0.5745,0.5648,0.5841,0.5842,0.5883
242.13,0.194,0.3463,0.4299,0.4976,0.5471,0.5941,0.6205,0.6149,0.6341,0.6377,0.6399
242.52,0.2043,0.3632,0.4497,0.5253,0.5819,0.632,0.6682,0.6643,0.6813,0.69,0.6944
242.91,0.2148,0.3779,0.4701,0.5535,0.6171,0.6731,0.7185,0.7173,0.7356,0.7446,0.7502
243.3,0.2246,0.3902,0.4917,0.5817,0.653,0.7155,0.768,0.7722,0.7846,0.7979,0.8062
243.69,0.2344,0.4015,0.5097,0.604,0.6827,0.7545,0.8133,0.8256,0.828,0.8489,0.8556
244.08,0.2456,0.4108,0.5233,0.627,0.7164,0.791,0.8566,0.8778,0.8801,0.9018,0.9055
244.47,0.2576,0.4202,0.5346,0.65,0.7465,0.8293,0.9008,0.9236,0.9318,0.9581,0.96
244.87,0.2673,0.4253,0.5442,0.6671,0.7751,0.8666,0.9403,0.9689,0.9745,1.0107,1.0062
245.26,0.2803,0.4286,0.5554,0.6863,0.802,0.8952,0.98,1.013,1.0196,1.0552,1.0478
245.65,0.2922,0.4323,0.5648,0.7043,0.8266,0.9263,1.0181,1.056,1.0683,1.0974,1.0918
246.04,0.3043,0.4348,0.5722,0.7203,0.848,0.957,1.0511,1.0971,1.1049,1.1366,1.133
246.43,0.3153,0.4354,0.5795,0.7362,0.8712,0.9843,1.0883,1.1346,1.1469,1.1768,1.1758
246.82,0.3269,0.4345,0.5844,0.7492,0.8941,1.0134,1.1213,1.1729,1.1864,1.2129,1.2134
247.21,0.3378,0.4336,0.5896,0.7597,0.9123,1.0364,1.1515,1.2016,1.2172,1.245,1.2438
247.6,0.3499,0.4331,0.5942,0.7723,0.9304,1.0627,1.1802,1.2344,1.2513,1.2773,1.2728
248,0.3633,0.4319,0.5981,0.7848,0.9511,1.0866,1.2113,1.2676,1.2897,1.3121,1.3072
248.39,0.3762,0.43,0.6013,0.7961,0.967,1.1127,1.2429,1.3003,1.3196,1.3443,1.341
248.78,0.3887,0.4257,0.604,0.8068,0.9833,1.1361,1.2713,1.3288,1.3437,1.368,1.3682
249.17,0.4026,0.4242,0.6093,0.8187,0.9997,1.1558,1.3011,1.3576,1.3714,1.3896,1.396
249.56,0.4153,0.4217,0.6133,0.8312,1.0181,1.1767,1.3239,1.3808,1.392,1.4139,1.4183
249.95,0.4286,0.4181,0.6175,0.8419,1.0341,1.1993,1.3501,1.4049,1.4097,1.4386,1.4398
250.34,0.4429,0.4152,0.6211,0.8532,1.0525,1.2218,1.3766,1.4265,1.4354,1.4605,1.4608
250.73,0.4567,0.4132,0.6251,0.8645,1.0692,1.2441,1.3975,1.4487,1.4596,1.4786,1.4774
251.12,0.4705,0.4114,0.6302,0.8755,1.0856,1.2653,1.4214,1.4641,1.4819,1.4949,1.4958
251.52,0.4846,0.4101,0.6357,0.8896,1.1039,1.2889,1.4441,1.4861,1.5002,1.5116,1.512
251.91,0.4995,0.4089,0.6409,0.9019,1.1199,1.3085,1.4638,1.5028,1.5166,1.5258,1.5275
252.3,0.5139,0.4073,0.647,0.9153,1.1365,1.3267,1.4788,1.5171,1.5289,1.5397,1.5393
252.69,0.5279,0.4062,0.6532,0.9274,1.153,1.3453,1.4949,1.5286,1.5437,1.5468,1.5499
253.08,0.5403,0.4067,0.6611,0.941,1.1699,1.3616,1.5109,1.5377,1.5576,1.557,1.5596
253.47,0.5538,0.4066,0.667,0.9556,1.1882,1.3821,1.526,1.5494,1.5713,1.5687,1.5697
253.86,0.5683,0.4075,0.6747,0.9695,1.2058,1.403,1.5439,1.5674,1.5882,1.5806,1.5814
